Feature,Coefficient,Odds Ratio
age,0.18297170445031344,1.200780430857787
education,0.08945823456982949,1.0935816584501505
currentSmoker,-0.01751449664862676,0.9826379906041435
cigsPerDay,-0.09609123051230734,0.9083811402115683
BPMeds,0.08473240413472582,1.0884257694895993
prevalentHyp,0.2829058248767928,1.3269801874098666
totChol,0.13905494139878596,1.1491872362234181
sysBP,0.08378607879709446,1.0873962518119629
diaBP,-0.21527078227059251,0.8063230726211943
BMI,0.26959475645876174,1.3094337036485135
heartRate,0.056729248319069406,1.0583692163549685
glucose,1.9991908687587385,7.383079800928336
TenYearCHD,-0.21393283114026154,0.8074026155143949
